Code,SEQNUM,RECID,Description,Name,COV,TOS1,CONVERTDateAdded,CONVERTEffectiveDate,CONVERTTerminationDate,ACTION CD
E1226,10,3,"Wheelchair accessory, manual fully reclining back, (recline greater than 80 degrees), each",Manual fully reclining back,D,A,19860101,20050101,,N
E1227,10,3,Special height arms for wheelchair,Wheelchair spec sz spec ht a,D,A,19860101,19900101,,N
E1228,10,3,Special back height for wheelchair,Wheelchair spec sz spec ht b,D,R,19860101,19900101,,N
E1229,10,3,"Wheelchair, pediatric size, not otherwise specified",Pediatric wheelchair nos,C,A,20050101,20050101,,N
E1230,10,3,Power operated vehicle (three or four wheel nonhighway) specify brand name and model number,Power operated vehicle,D,A,19860101,19910101,,N
E1231,10,3,"Wheelchair, pediatric size, tilt-in-space, rigid, adjustable, with seating system",Rigid ped w/c tilt-in-space,D,A,20030101,20090101,,N
E1232,10,3,"Wheelchair, pediatric size, tilt-in-space, folding, adjustable, with seating system",Folding ped wc tilt-in-space,D,A,20030101,20140401,,N
E1233,10,3,"Wheelchair, pediatric size, tilt-in-space, rigid, adjustable, without seating system",Rig ped wc tltnspc w/o seat,D,A,20030101,20140401,,N
E1234,10,3,"Wheelchair, pediatric size, tilt-in-space, folding, adjustable, without seating system",Fld ped wc tltnspc w/o seat,D,A,20030101,20140401,,N
E1235,10,3,"Wheelchair, pediatric size, rigid, adjustable, with seating system",Rigid ped wc adjustable,D,A,20030101,20140401,,N
E1236,10,3,"Wheelchair, pediatric size, folding, adjustable, with seating system",Folding ped wc adjustable,D,A,20030101,20140401,,N
E1237,10,3,"Wheelchair, pediatric size, rigid, adjustable, without seating system",Rgd ped wc adjstabl w/o seat,D,A,20030101,20140401,,N
E1238,10,3,"Wheelchair, pediatric size, folding, adjustable, without seating system",Fld ped wc adjstabl w/o seat,D,A,20030101,20140401,,N
E1239,10,3,"Power wheelchair, pediatric size, not otherwise specified",Ped power wheelchair nos,C,A,20050101,20050101,,N
E1240,10,3,"Lightweight wheelchair, detachable arms, (desk or full length) swing away detachable, elevating legrest",Whchr litwt det arm leg rest,D,R,19860101,19890101,,N
E1250,10,3,"Lightweight wheelchair, fixed full length arms, swing away detachable footrest",Wheelchair lightwt fixed arm,I,R,19860101,20010401,,N
E1260,10,3,"Lightweight wheelchair, detachable arms (desk or full length) swing away detachable footrest",Wheelchair lightwt foot rest,I,R,19860101,20010401,,N
E1270,10,3,"Lightweight wheelchair, fixed full length arms, swing away detachable elevating legrests",Wheelchair lightweight leg r,D,R,19860101,19890101,,N
E1280,10,3,"Heavy duty wheelchair, detachable arms (desk or full length) elevating legrests",Whchr h-duty det arm leg res,D,R,19860101,19890101,,N
E1285,10,3,"Heavy duty wheelchair, fixed full length arms, swing away detachable footrest",Wheelchair heavy duty fixed,I,R,19860101,20010401,,N
E1290,10,3,"Heavy duty wheelchair, detachable arms (desk or full length) swing away detachable footrest",Wheelchair hvy duty detach a,I,R,19860101,20010401,,N
E1295,10,3,"Heavy duty wheelchair, fixed full length arms, elevating legrest",Wheelchair heavy duty fixed,D,R,19860101,19890101,,N
E1296,10,3,Special wheelchair seat height from floor,Wheelchair special seat heig,D,A,19860101,19890101,,N
E1297,10,3,"Special wheelchair seat depth, by upholstery",Wheelchair special seat dept,D,A,19860101,19890101,,N
E1298,10,3,"Special wheelchair seat depth and/or width, by construction",Wheelchair spec seat depth/w,D,A,19860101,19890101,,N
E1300,10,3,"Whirlpool, portable (overtub type)",Whirlpool portable,M,A,19860101,19960101,,N
E1310,10,3,"Whirlpool, non-portable (built-in type)",Whirlpool non-portable,D,A,19860101,19960101,,N
E1352,10,3,"Oxygen accessory, flow regulator capable of positive inspiratory pressure",O2 flow reg pos inspir press,C,P,20140101,20140101,,N
E1353,10,3,Regulator,Oxygen supplies regulator,D,R,19860101,20090101,,N
E1354,10,3,"Oxygen accessory, wheeled cart for portable cylinder or portable concentrator, any type, replacement only, each","Wheeled cart, port cyl/conc",C,A,20090101,20090101,,N
E1355,10,3,Stand/rack,Oxygen supplies stand/rack,D,R,19860101,20090101,,N
E1356,10,3,"Oxygen accessory, battery pack/cartridge for portable concentrator, any type, replacement only, each","Batt pack/cart, port conc",C,A,20090101,20090101,,N
E1357,10,3,"Oxygen accessory, battery charger for portable concentrator, any type, replacement only, each","Battery charger, port conc",C,A,20090101,20090101,,N
E1358,10,3,"Oxygen accessory, dc power adapter for portable concentrator, any type, replacement only, each","Dc power adapter, port conc",D,A,20090101,20150101,,N
E1372,10,3,Immersion external heater for nebulizer,Oxy suppl heater for nebuliz,D,A,19860101,19960101,,N
E1390,10,3,"Oxygen concentrator, single delivery port, capable of delivering 85 percent or greater oxygen concentration at the prescribed flow rate",Oxygen concentrator,D,R,20000101,20040101,,N
E1391,10,3,"Oxygen concentrator, dual delivery port, capable of delivering 85 percent or greater oxygen concentration at the prescribed flow rate, each","Oxygen concentrator, dual",D,R,20040101,20040101,,N
E1392,10,3,"Portable oxygen concentrator, rental",Portable oxygen concentrator,D,R,20060101,20060101,,N
E1399,10,3,"Durable medical equipment, miscellaneous",Durable medical equipment mi,C,A,19860101,19960101,,N
E1405,10,3,Oxygen and water vapor enriching system with heated delivery,O2/water vapor enrich w/heat,D,R,19880101,19900101,,N
E1406,10,3,Oxygen and water vapor enriching system without heated delivery,O2/water vapor enrich w/o he,D,R,19880101,19900101,,N
E1500,10,3,"Centrifuge, for dialysis",Centrifuge,D,L,20020101,20150101,,N
E1510,10,3,"Kidney, dialysate delivery syst kidney machine, pump recirculating, air removal syst, flowrate meter, power off, heater and temperature control with alarm, i.v. poles, pressure gauge, concentrate container",Kidney dialysate delivry sys,D,L,19860101,20150101,,N
E1520,10,3,Heparin infusion pump for hemodialysis,Heparin infusion pump,D,L,19860101,20150101,,N
E1530,10,3,"Air bubble detector for hemodialysis, each, replacement",Replacement air bubble detec,D,L,19860101,20150101,,N
E1540,10,3,"Pressure alarm for hemodialysis, each, replacement",Replacement pressure alarm,D,L,19860101,20150101,,N
E1550,10,3,"Bath conductivity meter for hemodialysis, each",Bath conductivity meter,D,L,19860101,20150101,,N
E1560,10,3,"Blood leak detector for hemodialysis, each, replacement",Replace blood leak detector,D,L,19860101,20150101,,N
E1570,10,3,"Adjustable chair, for esrd patients",Adjustable chair for esrd pt,D,L,19860101,20150101,,N
E1575,10,3,"Transducer protectors/fluid barriers, for hemodialysis, any size, per 10",Transducer protect/fld bar,D,L,19860101,20150101,,N
E1580,10,3,Unipuncture control system for hemodialysis,Unipuncture control system,D,L,19860101,20150101,,N
E1590,10,3,Hemodialysis machine,Hemodialysis machine,D,L,19860101,20150101,,N
E1592,10,3,Automatic intermittent peritoneal dialysis system,Auto interm peritoneal dialy,D,L,19860101,20150101,,N
E1594,10,3,Cycler dialysis machine for peritoneal dialysis,Cycler dialysis machine,D,L,19860101,20150101,,N
E1600,10,3,Delivery and/or installation charges for hemodialysis equipment,Deli/install chrg hemo equip,D,L,19860101,20150101,,N
E1610,10,3,"Reverse osmosis water purification system, for hemodialysis",Reverse osmosis h2o puri sys,D,L,19860101,20150101,,N
E1615,10,3,"Deionizer water purification system, for hemodialysis",Deionizer h2o puri system,D,L,19860101,20150101,,N
E1620,10,3,"Blood pump for hemodialysis, replacement",Replacement blood pump,D,L,19860101,20150101,,N
E1625,10,3,"Water softening system, for hemodialysis",Water softening system,D,L,19860101,20150101,,N
E1630,10,3,Reciprocating peritoneal dialysis system,Reciprocating peritoneal dia,C,L,19860101,20150101,,N
E1632,10,3,"Wearable artificial kidney, each",Wearable artificial kidney,D,L,19860101,20150101,,N
E1634,10,3,"Peritoneal dialysis clamps, each",Peritoneal dialysis clamp,D,L,20040101,20150101,,N
E1635,10,3,Compact (portable) travel hemodialyzer system,Compact travel hemodialyzer,D,L,19860101,20150101,,N
E1636,10,3,"Sorbent cartridges, for hemodialysis, per 10",Sorbent cartridges per 10,D,L,19860101,20150101,,N
E1637,10,3,"Hemostats, each","Hemostats for dialysis, each",D,L,20020101,20150101,,N
E1639,10,3,"Scale, each","Scale, each",D,L,20020101,20180101,,N
E1699,10,3,"Dialysis equipment, not otherwise specified",Dialysis equipment noc,D,L,19860101,20150101,,N
E1700,10,3,Jaw motion rehabilitation system,Jaw motion rehab system,C,A,19930101,20140401,,N
E1701,10,3,"Replacement cushions for jaw motion rehabilitation system, pkg. of 6",Repl cushions for jaw motion,C,P,19930101,19960101,,N
E1702,10,3,"Replacement measuring scales for jaw motion rehabilitation system, pkg. of 200",Repl measr scales jaw motion,C,P,19930101,19960101,,N
E1800,10,3,"Dynamic adjustable elbow extension/flexion device, includes soft interface material",Adjust elbow ext/flex device,C,P,19960101,20020101,,N
E1801,10,3,"Static progressive stretch elbow device, extension and/or flexion, with or without range of motion adjustment, includes all components and accessories",Sps elbow device,C,P,20020101,20080101,,N
E1802,10,3,"Dynamic adjustable forearm pronation/supination device, includes soft interface material",Adjst forearm pro/sup device,C,R,20030101,20030101,,N
E1805,10,3,"Dynamic adjustable wrist extension / flexion device, includes soft interface material",Adjust wrist ext/flex device,C,P,19960101,20020101,,N
E1806,10,3,"Static progressive stretch wrist device, flexion and/or extension, with or without range of motion adjustment, includes all components and accessories",Sps wrist device,C,P,20020101,20080101,,N
E1810,10,3,"Dynamic adjustable knee extension / flexion device, includes soft interface material",Adjust knee ext/flex device,C,P,19960101,20020101,,N
E1811,10,3,"Static progressive stretch knee device, extension and/or flexion, with or without range of motion adjustment, includes all components and accessories",Sps knee device,C,P,20020101,20080101,,N
E1812,10,3,"Dynamic knee, extension/flexion device with active resistance control",Knee ext/flex w act res ctrl,C,P,20060101,20060101,,N
E1815,10,3,"Dynamic adjustable ankle extension/flexion device, includes soft interface material",Adjust ankle ext/flex device,C,P,19960101,20020101,,N
E1816,10,3,"Static progressive stretch ankle device, flexion and/or extension, with or without range of motion adjustment, includes all components and accessories",Sps ankle device,C,P,20020101,20080101,,N
E1818,10,3,"Static progressive stretch forearm pronation / supination device, with or without range of motion adjustment, includes all components and accessories",Sps forearm device,C,P,20020101,20080101,,N
E1820,10,3,"Replacement soft interface material, dynamic adjustable extension/flexion device",Soft interface material,C,P,19960101,20020101,,N
E1821,10,3,Replacement soft interface material/cuffs for bi-directional static progressive stretch device,Replacement interface spsd,C,P,20020101,20020101,,N
E1825,10,3,"Dynamic adjustable finger extension/flexion device, includes soft interface material",Adjust finger ext/flex devc,C,P,19960101,20020101,,N
E1830,10,3,"Dynamic adjustable toe extension/flexion device, includes soft interface material",Adjust toe ext/flex device,C,P,19960101,20020101,,N
E1831,10,3,"Static progressive stretch toe device, extension and/or flexion, with or without range of motion adjustment, includes all components and accessories",Static str toe dev ext/flex,C,P,20110101,20110101,,N
E1840,10,3,"Dynamic adjustable shoulder flexion / abduction / rotation device, includes soft interface material",Adj shoulder ext/flex device,C,P,20020101,20020101,,N
E1841,10,3,"Static progressive stretch shoulder device, with or without range of motion adjustment, includes all components and accessories",Static str shldr dev rom adj,C,R,20050101,20080101,,N
E1902,10,3,"Communication board, non-electronic augmentative or alternative communication device",Aac non-electronic board,C,A,20020101,20020101,,N
E2000,10,3,"Gastric suction pump, home model, portable or stationary, electric",Gastric suction pump hme mdl,C,R,20020101,20020101,,N
E2100,10,3,Blood glucose monitor with integrated voice synthesizer,Bld glucose monitor w voice,D,A,20020101,20020101,,N
E2101,10,3,Blood glucose monitor with integrated lancing/blood sample,Bld glucose monitor w lance,D,A,20020101,20020101,,N
E2120,10,3,Pulse generator system for tympanic treatment of inner ear endolymphatic fluid,Pulse gen sys tx endolymp fl,C,R,20040101,20040101,,N
E2201,10,3,"Manual wheelchair accessory, nonstandard seat frame, width greater than or equal to 20 inches and less than 24 inches","Man w/ch acc seat w>=20""<24""",C,A,20040101,20040101,,N
E2202,10,3,"Manual wheelchair accessory, nonstandard seat frame width, 24-27 inches",Seat width 24-27 in,C,A,20040101,20040101,,N
E2203,10,3,"Manual wheelchair accessory, nonstandard seat frame depth, 20 to less than 22 inches",Frame depth less than 22 in,C,A,20040101,20040101,,N
E2204,10,3,"Manual wheelchair accessory, nonstandard seat frame depth, 22 to 25 inches",Frame depth 22 to 25 in,C,A,20040101,20040101,,N
E2205,10,3,"Manual wheelchair accessory, handrim without projections (includes ergonomic or contoured), any type, replacement only, each","Manual wc accessory, handrim",C,A,20050101,20080101,,N
E2206,10,3,"Manual wheelchair accessory, wheel lock assembly, complete, replacement only, each",Man wc whl lock comp repl ea,C,A,20050101,20170101,,N
E2207,10,3,"Wheelchair accessory, crutch and cane holder, each",Crutch and cane holder,C,A,20060101,20060101,,N
E2208,10,3,"Wheelchair accessory, cylinder tank carrier, each",Cylinder tank carrier,C,A,20060101,20060101,,N
E2209,10,3,"Accessory, arm trough, with or without hand support, each",Arm trough each,C,A,20060101,20070101,,N
E2210,10,3,"Wheelchair accessory, bearings, any type, replacement only, each",Wheelchair bearings,C,A,20060101,20060101,,N
E2211,10,3,"Manual wheelchair accessory, pneumatic propulsion tire, any size, each",Pneumatic propulsion tire,C,A,20060101,20060101,,N
E2212,10,3,"Manual wheelchair accessory, tube for pneumatic propulsion tire, any size, each",Pneumatic prop tire tube,C,A,20060101,20060101,,N
E2213,10,3,"Manual wheelchair accessory, insert for pneumatic propulsion tire (removable), any type, any size, each",Pneumatic prop tire insert,C,A,20060101,20060101,,N
E2214,10,3,"Manual wheelchair accessory, pneumatic caster tire, any size, each",Pneumatic caster tire each,C,A,20060101,20060101,,N
E2215,10,3,"Manual wheelchair accessory, tube for pneumatic caster tire, any size, each",Pneumatic caster tire tube,C,A,20060101,20060101,,N
E2216,10,3,"Manual wheelchair accessory, foam filled propulsion tire, any size, each",Foam filled propulsion tire,C,A,20060101,20060101,,N
E2217,10,3,"Manual wheelchair accessory, foam filled caster tire, any size, each",Foam filled caster tire each,C,A,20060101,20060101,,N
E2218,10,3,"Manual wheelchair accessory, foam propulsion tire, any size, each",Foam propulsion tire each,C,A,20060101,20060101,,N
E2219,10,3,"Manual wheelchair accessory, foam caster tire, any size, each",Foam caster tire any size ea,C,A,20060101,20060101,,N
E2220,10,3,"Manual wheelchair accessory, solid (rubber/plastic) propulsion tire, any size, replacement only, each","Solid propuls tire, repl, ea",C,A,20060101,20170101,,N
E2221,10,3,"Manual wheelchair accessory, solid (rubber/plastic) caster tire (removable), any size, replacement only, each","Solid caster tire repl, each",C,A,20060101,20170101,,N
E2222,10,3,"Manual wheelchair accessory, solid (rubber/plastic) caster tire with integrated wheel, any size, replacement only, each","Solid caster integ whl, repl",C,A,20060101,20170101,,N
E2224,10,3,"Manual wheelchair accessory, propulsion wheel excludes tire, any size, replacement only, each",Propulsion whl excl tire rep,C,A,20060101,20170101,,N
E2225,10,3,"Manual wheelchair accessory, caster wheel excludes tire, any size, replacement only, each",Caster wheel excludes tire,C,A,20060101,20060101,,N
E2226,10,3,"Manual wheelchair accessory, caster fork, any size, replacement only, each",Caster fork replacement only,C,A,20060101,20060101,,N
E2227,10,3,"Manual wheelchair accessory, gear reduction drive wheel, each",Gear reduction drive wheel,C,A,20080101,20140401,,N
E2228,10,3,"Manual wheelchair accessory, wheel braking system and lock, complete, each","Mwc acc, wheelchair brake",C,A,20080101,20160701,,N
E2230,10,3,"Manual wheelchair accessory, manual standing system",Manual standing system,C,A,20090101,20150101,,N
E2231,10,3,"Manual wheelchair accessory, solid seat support base (replaces sling seat), includes any type mounting hardware",Solid seat support base,C,A,20090101,20090101,,N
E2291,10,3,"Back, planar, for pediatric size wheelchair including fixed attaching hardware",Planar back for ped size wc,C,A,20050101,20060101,,N
E2292,10,3,"Seat, planar, for pediatric size wheelchair including fixed attaching hardware",Planar seat for ped size wc,C,A,20050101,20060101,,N
E2293,10,3,"Back, contoured, for pediatric size wheelchair including fixed attaching hardware",Contour back for ped size wc,C,A,20050101,20060101,,N
E2294,10,3,"Seat, contoured, for pediatric size wheelchair including fixed attaching hardware",Contour seat for ped size wc,C,A,20050101,20060101,,N
E2295,10,3,"Manual wheelchair accessory, for pediatric size wheelchair, dynamic seating frame, allows coordinated movement of multiple positioning features",Ped dynamic seating frame,C,A,20090101,20090101,,N
E2300,10,3,"Wheelchair accessory, power seat elevation system, any type",Pwr seat elevation sys,C,A,20040101,20140101,,N
E2301,10,3,"Wheelchair accessory, power standing system, any type",Pwr standing,C,A,20040101,20140101,,N
E2310,10,3,"Power wheelchair accessory, electronic connection between wheelchair controller and one power seating system motor, including all related electronics, indicator feature, mechanical function selection switch, and fixed mounting hardware",Electro connect btw control,C,A,20040101,20140401,,N
E2311,10,3,"Power wheelchair accessory, electronic connection between wheelchair controller and two or more power seating system motors, including all related electronics, indicator feature, mechanical function selection switch, and fixed mounting hardware",Electro connect btw 2 sys,C,A,20040101,20140401,,N
E2312,10,3,"Power wheelchair accessory, hand or chin control interface, mini-proportional remote joystick, proportional, including fixed mounting hardware",Mini-prop remote joystick,C,A,20080101,20140401,,N
E2313,10,3,"Power wheelchair accessory, harness for upgrade to expandable controller, including all fasteners, connectors and mounting hardware, each","Pwc harness, expand control",C,A,20080101,20140401,,N
E2321,10,3,"Power wheelchair accessory, hand control interface, remote joystick, nonproportional, including all related electronics, mechanical stop switch, and fixed mounting hardware",Hand interface joystick,C,A,20040101,20140401,,N
E2322,10,3,"Power wheelchair accessory, hand control interface, multiple mechanical switches, nonproportional, including all related electronics, mechanical stop switch, and fixed mounting hardware",Mult mech switches,C,A,20040101,20140401,,N
E2323,10,3,"Power wheelchair accessory, specialty joystick handle for hand control interface, prefabricated",Special joystick handle,C,A,20040101,20040101,,N
E2324,10,3,"Power wheelchair accessory, chin cup for chin control interface",Chin cup interface,C,A,20040101,20040101,,N
E2325,10,3,"Power wheelchair accessory, sip and puff interface, nonproportional, including all related electronics, mechanical stop switch, and manual swingaway mounting hardware",Sip and puff interface,C,A,20040101,20140401,,N
E2326,10,3,"Power wheelchair accessory, breath tube kit for sip and puff interface",Breath tube kit,C,A,20040101,20140401,,N
E2327,10,3,"Power wheelchair accessory, head control interface, mechanical, proportional, including all related electronics, mechanical direction change switch, and fixed mounting hardware",Head control interface mech,C,A,20040101,20140401,,N
E2328,10,3,"Power wheelchair accessory, head control or extremity control interface, electronic, proportional, including all related electronics and fixed mounting hardware",Head/extremity control inter,C,A,20040101,20140401,,N
E2329,10,3,"Power wheelchair accessory, head control interface, contact switch mechanism, nonproportional, including all related electronics, mechanical stop switch, mechanical direction change switch, head array, and fixed mounting hardware",Head control nonproportional,C,A,20040101,20140401,,N
E2330,10,3,"Power wheelchair accessory, head control interface, proximity switch mechanism, nonproportional, including all related electronics, mechanical stop switch, mechanical direction change switch, head array, and fixed mounting hardware",Head control proximity switc,C,A,20040101,20140401,,N
E2331,10,3,"Power wheelchair accessory, attendant control, proportional, including all related electronics and fixed mounting hardware",Attendant control,C,A,20040101,20040101,,N
E2340,10,3,"Power wheelchair accessory, nonstandard seat frame width, 20-23 inches",W/c wdth 20-23 in seat frame,C,A,20040101,20040101,,N
E2341,10,3,"Power wheelchair accessory, nonstandard seat frame width, 24-27 inches",W/c wdth 24-27 in seat frame,C,A,20040101,20040101,,N
E2342,10,3,"Power wheelchair accessory, nonstandard seat frame depth, 20 or 21 inches",W/c dpth 20-21 in seat frame,C,A,20040101,20040101,,N
E2343,10,3,"Power wheelchair accessory, nonstandard seat frame depth, 22-25 inches",W/c dpth 22-25 in seat frame,C,A,20040101,20040101,,N
E2351,10,3,"Power wheelchair accessory, electronic interface to operate speech generating device using power wheelchair control interface",Electronic sgd interface,C,A,20040101,20190101,,N
E2358,10,3,"Power wheelchair accessory, group 34 non-sealed lead acid battery, each",Gr 34 nonsealed leadacid,C,A,20120101,20120101,,N
E2359,10,3,"Power wheelchair accessory, group 34 sealed lead acid battery, each (e.g., gel cell, absorbed glassmat)",Gr34 sealed leadacid battery,C,A,20120101,20120101,,N
E2360,10,3,"Power wheelchair accessory, 22nf non-sealed lead acid battery, each",22nf nonsealed leadacid,C,A,20040101,20040101,,N
E2361,10,3,"Power wheelchair accessory, 22nf sealed lead acid battery, each, (e.g., gel cell, absorbed glassmat)",22nf sealed leadacid battery,C,A,20040101,20040101,,N
E2362,10,3,"Power wheelchair accessory, group 24 non-sealed lead acid battery, each",Gr24 nonsealed leadacid,C,A,20040101,20040101,,N
E2363,10,3,"Power wheelchair accessory, group 24 sealed lead acid battery, each (e.g., gel cell, absorbed glassmat)",Gr24 sealed leadacid battery,C,A,20040101,20040101,,N
E2364,10,3,"Power wheelchair accessory, u-1 non-sealed lead acid battery, each",U1nonsealed leadacid battery,C,A,20040101,20040101,,N
E2365,10,3,"Power wheelchair accessory, u-1 sealed lead acid battery, each (e.g., gel cell, absorbed glassmat)",U1 sealed leadacid battery,C,A,20040101,20040101,,N
E2366,10,3,"Power wheelchair accessory, battery charger, single mode, for use with only one battery type, sealed or non-sealed, each","Battery charger, single mode",C,A,20040101,20040101,,N
E2367,10,3,"Power wheelchair accessory, battery charger, dual mode, for use with either battery type, sealed or non-sealed, each","Battery charger, dual mode",C,A,20040101,20040101,,N
E2368,10,3,"Power wheelchair component, drive wheel motor, replacement only",Pwr wc drivewheel motor repl,C,A,20050101,20160701,,N
E2369,10,3,"Power wheelchair component, drive wheel gear box, replacement only",Pwr wc drivewheel gear repl,C,A,20050101,20160701,,N
E2370,10,3,"Power wheelchair component, integrated drive wheel motor and gear box combination, replacement only",Pwr wc dr wh motor/gear comb,C,A,20050101,20160701,,N
E2371,10,3,"Power wheelchair accessory, group 27 sealed lead acid battery, (e.g., gel cell, absorbed glassmat), each",Gr27 sealed leadacid battery,C,A,20060101,20060101,,N
E2372,10,3,"Power wheelchair accessory, group 27 non-sealed lead acid battery, each",Gr27 non-sealed leadacid,C,A,20060101,20060101,,N
E2373,10,3,"Power wheelchair accessory, hand or chin control interface, compact remote joystick, proportional, including fixed mounting hardware",Hand/chin ctrl spec joystick,C,A,20070101,20140401,,N
E2374,10,3,"Power wheelchair accessory, hand or chin control interface, standard remote joystick (not including controller), proportional, including all related electronics and fixed mounting hardware, replacement only",Hand/chin ctrl std joystick,D,A,20070101,20140401,,N
E2375,10,3,"Power wheelchair accessory, non-expandable controller, including all related electronics and mounting hardware, replacement only",Non-expandable controller,D,A,20070101,20160701,,N
E2376,10,3,"Power wheelchair accessory, expandable controller, including all related electronics and mounting hardware, replacement only","Expandable controller, repl",D,A,20070101,20140401,,N
E2377,10,3,"Power wheelchair accessory, expandable controller, including all related electronics and mounting hardware, upgrade provided at initial issue","Expandable controller, initl",D,A,20070101,20140401,,N
E2378,10,3,"Power wheelchair component, actuator, replacement only",Pw actuator replacement,C,A,20130101,20140401,,N
E2381,10,3,"Power wheelchair accessory, pneumatic drive wheel tire, any size, replacement only, each",Pneum drive wheel tire,D,A,20070101,20070101,,N
E2382,10,3,"Power wheelchair accessory, tube for pneumatic drive wheel tire, any size, replacement only, each","Tube, pneum wheel drive tire",D,A,20070101,20070101,,N
E2383,10,3,"Power wheelchair accessory, insert for pneumatic drive wheel tire (removable), any type, any size, replacement only, each","Insert, pneum wheel drive",D,A,20070101,20070101,,N
E2384,10,3,"Power wheelchair accessory, pneumatic caster tire, any size, replacement only, each",Pneumatic caster tire,D,A,20070101,20070101,,N
E2385,10,3,"Power wheelchair accessory, tube for pneumatic caster tire, any size, replacement only, each","Tube, pneumatic caster tire",D,A,20070101,20070101,,N
E2386,10,3,"Power wheelchair accessory, foam filled drive wheel tire, any size, replacement only, each",Foam filled drive wheel tire,D,A,20070101,20070101,,N
E2387,10,3,"Power wheelchair accessory, foam filled caster tire, any size, replacement only, each",Foam filled caster tire,D,A,20070101,20070101,,N
E2388,10,3,"Power wheelchair accessory, foam drive wheel tire, any size, replacement only, each",Foam drive wheel tire,D,A,20070101,20070101,,N
E2389,10,3,"Power wheelchair accessory, foam caster tire, any size, replacement only, each",Foam caster tire,D,A,20070101,20070101,,N
E2390,10,3,"Power wheelchair accessory, solid (rubber/plastic) drive wheel tire, any size, replacement only, each",Solid drive wheel tire,D,A,20070101,20070101,,N
E2391,10,3,"Power wheelchair accessory, solid (rubber/plastic) caster tire (removable), any size, replacement only, each",Solid caster tire,D,A,20070101,20070101,,N
E2392,10,3,"Power wheelchair accessory, solid (rubber/plastic) caster tire with integrated wheel, any size, replacement only, each","Solid caster tire, integrate",D,A,20070101,20070101,,N
E2394,10,3,"Power wheelchair accessory, drive wheel excludes tire, any size, replacement only, each",Drive wheel excludes tire,D,A,20070101,20070101,,N
E2395,10,3,"Power wheelchair accessory, caster wheel excludes tire, any size, replacement only, each",Caster wheel excludes tire,D,A,20070101,20070101,,N
E2396,10,3,"Power wheelchair accessory, caster fork, any size, replacement only, each",Caster fork,D,A,20070101,20070101,,N
E2397,10,3,"Power wheelchair accessory, lithium-based battery, each","Pwc acc, lith-based battery",C,P,20080101,20080101,,N
E2398,10,3,"Wheelchair accessory, dynamic positioning hardware for back",Wc dynamic pos back hardware,C,9,20200101,20200101,,A
E2402,10,3,"Negative pressure wound therapy electrical pump, stationary or portable",Neg press wound therapy pump,C,R,20040101,20040101,,N
E2500,10,3,"Speech generating device, digitized speech, using pre-recorded messages, less than or equal to 8 minutes recording time",Sgd digitized pre-rec <=8min,D,A,20040101,20190101,,N
E2502,10,3,"Speech generating device, digitized speech, using pre-recorded messages, greater than 8 minutes but less than or equal to 20 minutes recording time",Sgd prerec msg >8min <=20min,D,A,20040101,20190101,,N
E2504,10,3,"Speech generating device, digitized speech, using pre-recorded messages, greater than 20 minutes but less than or equal to 40 minutes recording time",Sgd prerec msg>20min <=40min,D,A,20040101,20190101,,N
E2506,10,3,"Speech generating device, digitized speech, using pre-recorded messages, greater than 40 minutes recording time",Sgd prerec msg > 40 min,D,A,20040101,20190101,,N
E2508,10,3,"Speech generating device, synthesized speech, requiring message formulation by spelling and access by physical contact with the device",Sgd spelling phys contact,D,A,20040101,20190101,,N
E2510,10,3,"Speech generating device, synthesized speech, permitting multiple methods of message formulation and multiple methods of device access",Sgd w multi methods msg/accs,D,A,20040101,20190101,,N
E2511,10,3,"Speech generating software program, for personal computer or personal digital assistant",Sgd sftwre prgrm for pc/pda,D,A,20040101,20040101,,N
E2512,10,3,"Accessory for speech generating device, mounting system","Sgd accessory, mounting sys",D,A,20040101,20040101,,N
E2599,10,3,"Accessory for speech generating device, not otherwise classified",Sgd accessory noc,D,A,20040101,20140401,,N
E2601,10,3,"General use wheelchair seat cushion, width less than 22 inches, any depth",Gen w/c cushion wdth < 22 in,C,A,20050101,20050101,,N
E2602,10,3,"General use wheelchair seat cushion, width 22 inches or greater, any depth",Gen w/c cushion wdth >=22 in,C,A,20050101,20050101,,N
E2603,10,3,"Skin protection wheelchair seat cushion, width less than 22 inches, any depth",Skin protect wc cus wd <22in,C,A,20050101,20050101,,N
E2604,10,3,"Skin protection wheelchair seat cushion, width 22 inches or greater, any depth",Skin protect wc cus wd>=22in,C,A,20050101,20050101,,N
E2605,10,3,"Positioning wheelchair seat cushion, width less than 22 inches, any depth",Position wc cush wdth <22 in,C,A,20050101,20050101,,N
E2606,10,3,"Positioning wheelchair seat cushion, width 22 inches or greater, any depth",Position wc cush wdth>=22 in,C,A,20050101,20050101,,N
E2607,10,3,"Skin protection and positioning wheelchair seat cushion, width less than 22 inches, any depth",Skin pro/pos wc cus wd <22in,C,A,20050101,20050101,,N
E2608,10,3,"Skin protection and positioning wheelchair seat cushion, width 22 inches or greater, any depth",Skin pro/pos wc cus wd>=22in,C,A,20050101,20050101,,N
E2609,10,3,"Custom fabricated wheelchair seat cushion, any size",Custom fabricate w/c cushion,C,A,20050101,20050101,,N
E2610,10,3,"Wheelchair seat cushion, powered",Powered w/c cushion,C,A,20050101,20050101,,N
